分野,問題,画像問題,ア,イ,ウ,エ,画像ア,画像イ,画像ウ,画像エ,正解,解説,出典
基礎理論,M/M/1 の待ち行列モデルにおいて，窓口の利用率が25% から40% に増えると，平均待ち時間は何倍になるか。,,1.25,1.6,2,3,,,,,3,,令和6年秋期問1
基礎理論,AI における教師あり学習での交差検証に関する記述はどれか。,,過学習を防ぐために，回帰モデルに複雑さを表すペナルティ項を加え，訓練データへ過剰に適合しないようにモデルを調整する,学習の精度を高めるために，複数の異なるアルゴリズムのモデルで学習し，学習の結果は組み合わせて評価する。,学習モデルの汎化性能を高めるために，単一のモデルで関連する複数の課題を学習することによって，課題間に共通する要因を獲得する。,学習モデルの汎化性能を評価するために，データを複数のグループに分割し，一部を学習に残りを評価に使い，順にグループを入れ替えて学習と評価を繰り返す。,,,,,4,,令和6年秋期問2
基礎理論,式A+B×C の逆ポーランド表記法による表現として，適切なものはどれか。,,+×CBA,×+ABC,ABC×+,CBA+×,,,,,3,,令和6年秋期問3
基礎理論,自動車の先進運転支援システムで使用されるセンサーの説明のうち，適切なものはどれか。,,可視光カメラは，天候などの影響を受けやすいが，交通標識の認識に使用できる。,超音波センサーは，天候などの影響を受けやすいが，測定可能距離が500 メートル以上と長い。,ミリ波レーダーは，天候などの影響を受けにくく，交通信号機の灯色の判別に使用できる。,レーザーレーダーは，天候などの影響を受けにくく，建物の後ろにある物体を検知できる。,,,,,1,,令和6年秋期問4
アルゴリズムとプログラミング,次の2 分探索木から要素12 を削除したとき，その位置に別の要素を移動するだけで2 分探索木を再構成するには，削除された要素の位置にどの要素を移動すればよいか。,".\images\q5.png",9,10,13,14,,,,,3,,令和6年秋期問5
アルゴリズムとプログラミング,"自然数をキーとするデータを，ハッシュ表を用いて管理する。キーxのハッシュ関数h(x) をh(x) = x mod nとすると，任意のキーa とb が衝突する条件はどれか。ここで，n はハッシュ表の大きさであり，x modn はx をn で割った余りを表す。",,a +b がn の倍数,a−b がn の倍数,n がa+b の倍数,n がa−b の倍数,,,,,2,,令和6年秋期問6
アルゴリズムとプログラミング,"次の特徴をもつプログラム言語及び実行環境であって，オープンソースソフトウェアとして提供されているものはどれか。
[特徴] 
・統計解析や機械学習に適している。
・データ分析，グラフ描画などの，多数のソフトウェアパッケージが提供されている。
・変数自体には型がなく，変数に代入されるオブジェクトの型は実行時に決まる。",,Go,Kotlin,R,Scala,,,,,3,,令和6年秋期問7
コンピュータ構成要素,"RISC プロセッサの5段パイプラインの命令実行制御の順序はどれか。ここで，このパイプラインのステージは次の五つとする。
①書込み
②実行とアドレス生成
③命令デコードとレジスタファイル読出し
④命令フェッチ
⑤メモリアクセス",,③，④，②，⑤，①,③，⑤，②，④，①,④，③，②，⑤，①,④，⑤，③，②，①,,,,,3,,令和6年秋期問8
コンピュータ構成要素,量子超越性( Quantum Supremacy ) の説明として，適切なものはどれか。,,重ね合わせという現象を用いた量子暗号が，現在の暗号化方式よりもはるかに安全であること,従来のコンピュータが古典物理学に依拠する段階にとどまっているのに比べて，量子コンピュータが量子力学に依拠して作られていること,従来のコンピュータでは実用的な時間で処理することができない計算を，量子コンピュータでは高速に実行できること,同一の性能を実現した従来のコンピュータに比べて，量子コンピュータの物理的な大きさを圧倒的に小さくできること,,,,,3,,令和6年秋期問9
コンピュータ構成要素,キャッシュメモリのアクセス時間が主記憶のアクセス時間の1/30 で，ヒット率が95% のとき，実効メモリアクセス時間は，主記憶のアクセス時間の約何倍になるか。,,0.03,0.08,0.37,0.95,,,,,2,,令和6年秋期問10
